topic,url,index,ratings,total
arts_entertainment,http://en.wikipedia.org/wiki/Adam_Lambert,1,"0,0,0,0,2",2
arts_entertainment,http://www.last.fm/music/Adam+Lambert,2,"0,0,0,1,1",2
arts_entertainment,http://en.wikipedia.org/wiki/Lambert-Sigisbert_Adam,3,"0,1,0,0,1",2
culture_politics,http://en.wikipedia.org/wiki/Floyd_Landis,4,"0,0,0,0,2",2
sports,http://simple.wikipedia.org/wiki/Floyd_Landis,5,"0,0,0,0,2",2
science_technology,http://en.wikipedia.org/wiki/Floyd_Landis_doping_case,6,"0,0,0,0,2",2
arts_entertainment,http://www.answers.com/topic/floyd-landis,7,"0,0,0,1,1",2
religion,http://www.ladygaga.com/,8,"0,0,0,0,2",2
arts_entertainment,http://en.wikipedia.org/wiki/Lady_Gaga,9,"0,0,0,0,2",2
arts_entertainment,http://simple.wikipedia.org/wiki/Lady_GaGa,10,"0,0,0,0,2",2
arts_entertainment,http://www.answers.com/topic/lady-gaga,11,"0,0,0,1,1",2
culture_politics,http://www.people.com/people/lady_gaga,12,"0,0,0,1,1",2
sports,http://www.rhapsody.com/lady-gaga,13,"0,0,0,0,2",2
arts_entertainment,http://www.imdb.com/name/nm3078932/,14,"0,0,0,0,2",2
arts_entertainment,http://www.cnn.com/SPECIALS/2009/michael.jackson.remembered,15,"0,0,0,0,2",2
arts_entertainment,http://www.imdb.com/name/nm0001391/,16,"0,0,0,0,2",2
arts_entertainment,http://simple.wikipedia.org/wiki/Michael_Jackson,17,"0,0,0,0,2",2
arts_entertainment,http://www.michaeljackson.com/us/this-is-it,18,"0,0,0,1,1",2
arts_entertainment,http://www.msnbc.msn.com/id/31552029/ns/entertainment-music/,19,"0,0,0,0,2",2
arts_entertainment,http://www.biography.com/articles/Michael-Jackson-38211,20,"0,0,0,0,2",2
health,http://en.wikipedia.org/wiki/Suleman_octuplets,21,"0,0,0,0,2",2
arts_entertainment,http://www.imdb.com/name/nm3319257/,22,"0,0,0,0,2",2
science_technology,http://en.wikipedia.org/wiki/Emissions_trading,23,"0,0,0,0,2",2
science_technology,http://www.epa.gov/captrade/,24,"0,0,0,0,2",2
science_technology,http://www.americanprogress.org/issues/2008/01/capandtrade101.html,25,"0,0,0,1,1",2
science_technology,http://online.wsj.com/article/SB123655590609066021.html,26,"0,0,0,0,2",2
culture_politics,http://www.washingtonpost.com/wp-dyn/content/article/2009/05/31/AR2009053102077.html,27,"0,0,0,0,2",2
science_technology,http://en.wikipedia.org/wiki/American_Clean_Energy_and_Security_Act,28,"0,0,0,1,1",2
science_technology,http://www.epa.gov/captrade/captrade-101.html,29,"0,0,0,0,2",2
science_technology,http://www.sightline.org/research/energy/res_pubs/cap-and-trade-101,30,"0,0,0,1,1",2
science_technology,http://www.epa.gov/climatechange/,31,"0,0,0,0,2",2
science_technology,http://en.wikipedia.org/wiki/Climate_change,32,"0,0,0,0,2",2
science_technology,http://www.nature.org/initiatives/climatechange/,33,"0,0,0,0,2",2
science_technology,http://www.answers.com/topic/climate-change,34,"0,0,0,1,1",2
science_technology,http://www.pewclimate.org/,35,"0,0,0,0,2",2
culture_politics,http://climate.nasa.gov/,36,"0,0,0,0,2",2
science_technology,http://simple.wikipedia.org/wiki/Climate_change,37,"0,0,0,0,2",2
science_technology,http://www.epa.gov/climatechange/basicinfo.html,38,"0,0,0,0,2",2
science_technology,http://www.ipcc.ch/,39,"0,0,0,0,2",2
science_technology,http://www.exploratorium.edu/climate/,40,"0,0,0,0,2",2
science_technology,http://unfccc.int/,41,"0,0,0,0,2",2
science_technology,http://ec.europa.eu/environment/climat/home_en.htm,42,"0,0,0,1,1",2
science_technology,http://en.wikipedia.org/wiki/Green_jobs,43,"0,0,0,1,1",2
science_technology,http://en.wikipedia.org/wiki/Green-collar_worker,44,"0,0,0,0,2",2
science_technology,http://greenjobsalliance.org/,45,"0,0,0,0,2",2
business,http://www.usgbc.org/DisplayPage.aspx?CMSPageID=1954,46,"0,0,0,0,2",2
recreation,http://greenjobs.waketech.edu/,47,"0,0,0,1,1",2
business,http://organiceating.com/,48,"0,0,0,0,2",2
science_technology,http://en.wikipedia.org/wiki/Organic_food,49,"0,0,0,0,2",2
science_technology,http://en.wikipedia.org/wiki/Renewable_energy,50,"0,0,0,0,2",2
science_technology,http://www.nrel.gov/,51,"0,0,0,0,2",2
science_technology,http://www.eia.doe.gov/kids/energyfacts/sources/renewable/renewable.html,52,"0,0,0,0,2",2
science_technology,http://en.wikipedia.org/wiki/Renewable_energy_in_California,53,"0,0,0,0,2",2
science_technology,http://simple.wikipedia.org/wiki/Renewable_energy,54,"0,0,0,0,2",2
science_technology,http://www.eere.energy.gov/,55,"0,0,0,0,2",2
law_crime,http://www.lanepowell.com/237/renewable-energy/,56,"0,0,0,1,1",2
science_technology,http://www.green.harvard.edu/renewable-energy,57,"0,0,0,0,2",2
science_technology,http://www.energy.ca.gov/renewables/index.html,58,"0,0,0,0,2",2
science_technology,http://www.dieoff.org/page84.htm,59,"0,0,0,1,1",2
science_technology,http://nationalatlas.gov/articles/people/a_energy.html,60,"0,0,0,0,2",2
business,http://the-mrea.org/,61,"0,0,0,1,1",2
science_technology,http://www.mayoclinic.com/health/alzheimers-genes/AZ00047,62,"0,0,0,0,2",2
science_technology,"http://www.time.com/time/health/article/0,8599,1920745,00.html",63,"0,0,0,0,2",2
health,http://www.nia.nih.gov/Alzheimers/Publications/geneticsfs.htm,64,"0,0,0,0,2",2
health,http://www.ncbi.nlm.nih.gov/pubmed/11274343,65,"0,0,0,0,2",2
health,http://www.webmd.com/alzheimers/guide/20061101/who-gets-alzheimers-genes-hold-key,66,"0,0,0,0,2",2
business,http://www.businessweek.com/lifestyle/content/healthday/640111.html,67,"0,0,0,0,2",2
health,http://www.medpagetoday.com/Neurology/AlzheimersDisease/15850,68,"0,0,0,0,2",2
science_technology,http://www.alzinfo.org/alzheimers-genetic.asp,69,"0,0,0,1,1",2
health,http://en.wikipedia.org/wiki/Alzheimer%27s_disease,70,"0,0,0,0,2",2
science_technology,http://news.health.com/2010/05/11/new-alzheimers-risk-genes-identified/,71,"0,0,0,0,2",2
health,http://www.clinicaltrials.gov/ct2/show/NCT00006193,72,"0,0,0,0,2",2
health,http://www.mayoclinic.com/health/autism/DS00348/DSECTION=symptoms,73,"0,0,0,0,2",2
health,http://www.cornerstorkbabygifts.com/autism-warning-signs.aspx,74,"0,0,0,1,1",2
health,http://www.cdc.gov/h1n1flu/vaccination/vaccine_safety_qa.htm,75,"0,0,0,0,2",2
health,http://www.cdc.gov/vaccines/vac-gen/side-effects.htm,76,"0,0,0,0,2",2
health,http://www.who.int/csr/disease/swineflu/frequently_asked_questions/vaccine_preparedness/safety_approval/en/index.html,77,"0,0,0,1,1",2
arts_entertainment,http://www.thehollywoodgossip.com/2010/06/new-adam-lambert-music-video-love-it-or-hate-it/,78,"0,0,1,1,0",2
arts_entertainment,http://www.imdb.com/name/nm2189338/,79,"0,0,0,1,1",2
arts_entertainment,http://top40.about.com/od/l/p/adamlambert.htm,80,"0,0,0,2,0",2
sports,http://www.usatoday.com/sports/cycling/2010-06-08-UCI-floyd-landis-drug-accusations_N.htm,81,"0,0,0,2,0",2
arts_entertainment,http://sportsillustrated.cnn.com/2010/magazine/05/25/lance.armstrong/index.html,82,"0,0,0,1,1",2
sports,http://sports.espn.go.com/oly/cycling/news/story?id=3029089,83,"0,0,0,1,1",2
sports,http://latimesblogs.latimes.com/sports_blog/2010/06/floyd-landis-hires-greg-lemonds-lawyers.html,84,"0,0,0,2,0",2
sports,http://sports.espn.go.com/oly/cycling/news/story?id=2541883,85,"0,0,0,2,0",2
sports,http://www.cyclingnews.com/editions/cycling-news-flash-june-30-2008,86,"0,0,1,1,0",2
arts_entertainment,http://www.cbass.com/FloydLandis.htm,87,"0,1,0,1,0",2
sports,http://www.nytimes.com/2010/02/16/sports/cycling/16landis.html,88,"0,0,0,1,1",2
science_technology,http://www.huffingtonpost.com/2010/02/15/floyd-landis-arrest-warra_n_462711.html,89,"0,0,0,1,1",2
health,http://orthopedics.about.com/od/famousinjuries/p/landis.htm,90,"0,0,1,1,0",2
religion,http://newsweek.washingtonpost.com/onfaith/guestvoices/2010/06/lady_gaga_is_no_madonna.html?hpid=talkbox1,91,"0,0,0,1,1",2
arts_entertainment,http://www.last.fm/music/Lady+GaGa,92,"0,0,0,2,0",2
arts_entertainment,http://ladygagaonline.net/,93,"0,0,0,2,0",2
arts_entertainment,http://new.music.yahoo.com/lady-gaga/,94,"0,0,0,2,0",2
arts_entertainment,http://top40.about.com/od/l/p/ladygaga.htm,95,"0,0,0,2,0",2
arts_entertainment,http://www.mahalo.com/lady-gaga,96,"0,0,0,2,0",2
arts_entertainment,http://abcnews.go.com/Entertainment/story?id=8278249&page=1,97,"0,0,0,1,1",2
arts_entertainment,http://www.stubhub.com/lady-gaga-tickets/,98,"0,0,0,1,1",2
arts_entertainment,http://www.zimbio.com/Lady+Gaga,99,"0,0,0,2,0",2
arts_entertainment,http://www.celebuzz.com/celebrities/lady-gaga/,100,"0,0,1,1,0",2
arts_entertainment,http://www.michaeljackson.com/us/home,101,"0,0,0,2,0",2
arts_entertainment,http://www.myspace.com/michaeljackson,102,"0,0,1,1,0",2
arts_entertainment,http://www.tmz.com/person/michael-jackson/,103,"0,1,0,1,0",2
arts_entertainment,http://today.msnbc.msn.com/id/37764023,104,"0,0,0,2,0",2
arts_entertainment,http://www.flixster.com/actor/michael-jackson,105,"0,0,1,1,0",2
arts_entertainment,http://www.fanhistory.com/wiki/Michael_Jackson,106,"0,1,0,1,0",2
arts_entertainment,http://www.last.fm/music/Michael+Jackson,107,"0,0,0,2,0",2
arts_entertainment,http://www.amazon.com/Michael-Jackson/e/B000APU04Q,108,"0,0,0,1,1",2
arts_entertainment,http://en.wikiquote.org/wiki/Michael_Jackson,109,"0,0,0,2,0",2
arts_entertainment,http://www.hollyscoop.com/michael-jackson/40.aspx,110,"0,0,1,1,0",2
arts_entertainment,http://topics.nytimes.com/top/reference/timestopics/people/j/michael_jackson/index.html,111,"0,0,0,1,1",2
arts_entertainment,http://www.mahalo.com/michael-jackson,112,"0,0,0,2,0",2
arts_entertainment,http://abcnews.go.com/Entertainment/MichaelJackson/story?id=7932509&page=1,113,"0,0,0,2,0",2
arts_entertainment,http://itunes.apple.com/us/artist/michael-jackson/id32940,114,"0,0,0,1,1",2
arts_entertainment,http://www.nme.com/artists/michael-jackson/,115,"0,0,1,1,0",2
arts_entertainment,http://en.wikipedia.org/wiki/Nadya_Suleman,116,"0,0,0,1,1",2
sports,http://topics.latimes.com/health/nadya-suleman,117,"0,0,0,2,0",2
recreation,http://www.mahalo.com/nadya-suleman,118,"0,0,0,1,1",2
sports,http://topics.nytimes.com/top/reference/timestopics/people/s/nadya_suleman/index.html,119,"0,0,0,1,1",2
science_technology,http://www.heritage.org/Research/Reports/2007/12/Beware-of-Cap-and-Trade-Climate-Bills,120,"0,0,0,1,1",2
culture_politics,http://online.wsj.com/article/SB124588837560750781.html,121,"0,0,0,1,1",2
science_technology,http://www.generationgreen.org/cap-trade.htm,122,"0,0,0,2,0",2
science_technology,http://www.fastcompany.com/1661427/cap-and-trade-definition-its-all-easier-to-understand-than-you-think?partner=rss,123,"0,0,0,2,0",2
science_technology,http://topics.nytimes.com/topics/reference/timestopics/subjects/g/greenhouse_gas_emissions/cap_and_trade/index.html?inline=nyt-classifier,124,"0,0,0,2,0",2
science_technology,http://voices.washingtonpost.com/ezra-klein/2010/06/a_utilities-only_cap-and-trade.html?hpid=news-col-blog,125,"0,0,0,2,0",2
science_technology,http://www.arb.ca.gov/cc/capandtrade/capandtrade.htm,126,"0,0,0,1,1",2
science_technology,http://www.edf.org/page.cfm?tagID=1085,127,"0,0,0,2,0",2
business,http://www.carbontax.org/issues/carbon-taxes-vs-cap-and-trade/,128,"0,0,0,2,0",2
business,http://www.businessdictionary.com/definition/cap-and-trade.html,129,"0,0,0,2,0",2
science_technology,http://en.wikipedia.org/wiki/Climate_change_consensus,130,"0,0,1,1,0",2
science_technology,http://www.ecy.wa.gov/climatechange/,131,"0,0,0,1,1",2
science_technology,http://online.wsj.com/article/SB124597505076157449.html,132,"0,0,0,1,1",2
science_technology,http://www.britannica.com/EBchecked/topic/121632/climate-change,133,"0,0,0,1,1",2
culture_politics,http://www.huffingtonpost.com/news/climate-change,134,"0,0,0,2,0",2
science_technology,http://www.climatechange.ca.gov/,135,"0,0,0,1,1",2
science_technology,http://www.water.ca.gov/climatechange/,136,"0,0,0,1,1",2
science_technology,http://climatechange.msu.edu/,137,"0,0,0,2,0",2
science_technology,http://www.geosociety.org/positions/position10.htm,138,"0,0,0,2,0",2
science_technology,http://www.ecy.wa.gov/climatechange/whatis.htm,139,"0,0,0,1,1",2
business,http://jobs.greenbiz.com/,140,"0,0,0,2,0",2
science_technology,http://www.sustainablebusiness.com/jobs/,141,"0,0,0,2,0",2
business,http://jobs.treehugger.com/,142,"0,0,0,2,0",2
business,http://www.fastcompany.com/articles/2009/01/best-green-jobs.html,143,"0,0,0,2,0",2
business,http://www.sierraclub.org/greenjobs/,144,"0,0,0,1,1",2
business,http://www.careerbuilder.com/jobs/keyword/green+jobs,145,"0,0,0,2,0",2
science_technology,http://urbanhabitat.org/node/528,146,"0,0,1,1,0",2
science_technology,http://jobs.jetsongreen.com/,147,"0,0,0,2,0",2
business,http://www.msnbc.msn.com/id/27284822/,148,"0,0,0,2,0",2
business,http://greenjobs.itcilo.org/,149,"0,0,0,2,0",2
business,http://www.greenjobscentral.blogspot.com/,150,"0,0,0,2,0",2
science_technology,http://www.5milliongreenjobs.org/,151,"0,0,0,2,0",2
business,http://jobs.grist.org/,152,"0,0,0,2,0",2
law_crime,http://greenjobs.workforce3one.org/,153,"0,0,0,2,0",2
culture_politics,http://veteransgreenjobs.org/,154,"0,0,0,2,0",2
science_technology,http://www.greencollarblog.org/,155,"0,0,0,2,0",2
business,http://www.msnbc.msn.com/id/24794156/,156,"0,0,0,2,0",2
science_technology,http://organic.org/,157,"0,0,0,1,1",2
science_technology,http://www.organiceatingdaily.com/,158,"0,0,0,2,0",2
business,http://www.webmd.com/food-recipes/features/eating-organic,159,"0,0,0,2,0",2
science_technology,http://www.msnbc.msn.com/id/3076638/,160,"0,0,0,2,0",2
science_technology,http://www.nytimes.com/2009/03/22/weekinreview/22bittman.html,161,"0,0,0,2,0",2
science_technology,http://www.nytimes.com/2008/12/04/health/04iht-snparker.1.18329349.html,162,"0,0,0,2,0",2
business,http://www.bankrate.com/brm/news/cheap/20040901a1.asp,163,"0,0,0,2,0",2
science_technology,"http://www.time.com/time/magazine/article/0,9171,1595245,00.html",164,"0,0,0,2,0",2
science_technology,http://articles.sfgate.com/2007-11-28/food/17269959_1_antioxidants-organic-uc-davis,165,"0,0,0,2,0",2
science_technology,http://www.recipe4living.com/articles/eating_organic.htm,166,"0,0,0,2,0",2
business,http://www.organic.org/articles/showarticle/article-207,167,"0,0,0,2,0",2
science_technology,http://www.eatingwell.com/food_news_origins/green_sustainable/organic_or_not_is_organic_produce_healthier_than_conventional,168,"0,0,0,2,0",2
science_technology,http://www.goodharvestmarket.com/special_diets/eating_organic.html,169,"0,0,0,2,0",2
business,http://www.csmonitor.com/From-the-news-wires/2010/0617/Renewable-energy-New-Mexico-to-build-two-solar-power-facilities,170,"0,0,0,1,1",2
business,http://renewableenergy.com/,171,"0,0,0,2,0",2
science_technology,http://www.answers.com/topic/renewable-energy,172,"0,0,0,2,0",2
science_technology,http://www.nrel.gov/learning/,173,"0,0,0,1,1",2
business,http://www.wikinvest.com/industry/Renewable_Energy,174,"0,0,0,2,0",2
science_technology,http://www.uwsp.edu/cnr/wcee/keep/renewable_energy_education/,175,"0,0,0,1,1",2
science_technology,http://www.energysavers.gov/renewable_energy/,176,"0,0,0,1,1",2
business,http://www.focusonenergy.com/Renewable/,177,"0,0,0,1,1",2
science_technology,http://www.renewablechoice.com/,178,"0,0,0,2,0",2
science_technology,http://www.amazon.com/Renewable-Energy-Godfrey-Boyle/dp/0199261784,179,"0,0,0,1,1",2
business,http://www.njcleanenergy.com/renewable-energy/home/home,180,"0,0,0,1,1",2
