topic,url,index,ratings,total
Celebrities,http://en.wikipedia.org/wiki/Adam_Lambert,1,"0,0,0,0,2",2
Celebrities,http://www.last.fm/music/Adam+Lambert,2,"0,0,0,1,1",2
Celebrities,http://en.wikipedia.org/wiki/Lambert-Sigisbert_Adam,3,"0,1,0,0,1",2
Celebrities,http://en.wikipedia.org/wiki/Floyd_Landis,4,"0,0,0,0,2",2
Celebrities,http://simple.wikipedia.org/wiki/Floyd_Landis,5,"0,0,0,0,2",2
Celebrities,http://en.wikipedia.org/wiki/Floyd_Landis_doping_case,6,"0,0,0,0,2",2
Celebrities,http://www.answers.com/topic/floyd-landis,7,"0,0,0,1,1",2
Celebrities,http://www.ladygaga.com/,8,"0,0,0,0,2",2
Celebrities,http://en.wikipedia.org/wiki/Lady_Gaga,9,"0,0,0,0,2",2
Celebrities,http://simple.wikipedia.org/wiki/Lady_GaGa,10,"0,0,0,0,2",2
Celebrities,http://www.answers.com/topic/lady-gaga,11,"0,0,0,1,1",2
Celebrities,http://www.people.com/people/lady_gaga,12,"0,0,0,1,1",2
Celebrities,http://www.rhapsody.com/lady-gaga,13,"0,0,0,0,2",2
Celebrities,http://www.imdb.com/name/nm3078932/,14,"0,0,0,0,2",2
Celebrities,http://en.wikipedia.org/wiki/Michael_Jackson,15,"0,0,0,0,2",2
Celebrities,http://www.cnn.com/SPECIALS/2009/michael.jackson.remembered,16,"0,0,0,0,2",2
Celebrities,http://www.imdb.com/name/nm0001391/,17,"0,0,0,0,2",2
Celebrities,http://simple.wikipedia.org/wiki/Michael_Jackson,18,"0,0,0,0,2",2
Celebrities,http://www.michaeljackson.com/us/this-is-it,19,"0,0,0,1,1",2
Celebrities,http://www.msnbc.msn.com/id/31552029/ns/entertainment-music/,20,"0,0,0,0,2",2
Celebrities,http://www.biography.com/articles/Michael-Jackson-38211,21,"0,0,0,0,2",2
Celebrities,http://en.wikipedia.org/wiki/Suleman_octuplets,22,"0,0,0,0,2",2
Celebrities,http://www.imdb.com/name/nm3319257/,23,"0,0,0,0,2",2
Environment,http://en.wikipedia.org/wiki/Emissions_trading,24,"0,0,0,0,2",2
Environment,http://www.epa.gov/captrade/,25,"0,0,0,0,2",2
Environment,http://www.americanprogress.org/issues/2008/01/capandtrade101.html,26,"0,0,0,1,1",2
Environment,http://online.wsj.com/article/SB123655590609066021.html,27,"0,0,0,0,2",2
Environment,http://www.washingtonpost.com/wp-dyn/content/article/2009/05/31/AR2009053102077.html,28,"0,0,0,0,2",2
Environment,http://en.wikipedia.org/wiki/American_Clean_Energy_and_Security_Act,29,"0,0,0,1,1",2
Environment,http://www.epa.gov/captrade/captrade-101.html,30,"0,0,0,0,2",2
Environment,http://www.sightline.org/research/energy/res_pubs/cap-and-trade-101,31,"0,0,0,1,1",2
Environment,http://www.epa.gov/climatechange/,32,"0,0,0,0,2",2
Environment,http://en.wikipedia.org/wiki/Climate_change,33,"0,0,0,0,2",2
Environment,http://www.nature.org/initiatives/climatechange/,34,"0,0,0,0,2",2
Environment,http://www.answers.com/topic/climate-change,35,"0,0,0,1,1",2
Environment,http://www.pewclimate.org/,36,"0,0,0,0,2",2
Environment,http://climate.nasa.gov/,37,"0,0,0,0,2",2
Environment,http://simple.wikipedia.org/wiki/Climate_change,38,"0,0,0,0,2",2
Environment,http://www.epa.gov/climatechange/basicinfo.html,39,"0,0,0,0,2",2
Environment,http://www.ipcc.ch/,40,"0,0,0,0,2",2
Environment,http://www.exploratorium.edu/climate/,41,"0,0,0,0,2",2
Environment,http://academickids.com/encyclopedia/index.php/Climate_change,42,"0,0,0,1,1",2
Environment,http://unfccc.int/,43,"0,0,0,0,2",2
Environment,http://ec.europa.eu/environment/climat/home_en.htm,44,"0,0,0,1,1",2
Environment,http://en.wikipedia.org/wiki/Green_jobs,45,"0,0,0,1,1",2
Environment,http://en.wikipedia.org/wiki/Green-collar_worker,46,"0,0,0,0,2",2
Environment,http://greenjobsalliance.org/,47,"0,0,0,0,2",2
Environment,http://www.usgbc.org/DisplayPage.aspx?CMSPageID=1954,48,"0,0,0,0,2",2
Environment,http://greenjobs.waketech.edu/,49,"0,0,0,1,1",2
Environment,http://organiceating.com/,50,"0,0,0,0,2",2
Environment,http://en.wikipedia.org/wiki/Organic_food,51,"0,0,0,0,2",2
Environment,http://en.wikipedia.org/wiki/Renewable_energy,52,"0,0,0,0,2",2
Environment,http://www.nrel.gov/,53,"0,0,0,0,2",2
Environment,http://www.eia.doe.gov/kids/energyfacts/sources/renewable/renewable.html,54,"0,0,0,0,2",2
Environment,http://en.wikipedia.org/wiki/Renewable_energy_in_California,55,"0,0,0,0,2",2
Environment,http://simple.wikipedia.org/wiki/Renewable_energy,56,"0,0,0,0,2",2
Environment,http://www.eere.energy.gov/,57,"0,0,0,0,2",2
Environment,http://www.lanepowell.com/237/renewable-energy/,58,"0,0,0,1,1",2
Environment,http://www.green.harvard.edu/renewable-energy,59,"0,0,0,0,2",2
