topic,url,index,ratings,total,snapshot
arts_entertainment,http://en.wikipedia.org/wiki/Adam_Lambert,1,"0,0,0,0,2",2,/static/snapshots/l/url1.jpg
arts_entertainment,http://www.last.fm/music/Adam+Lambert,2,"0,0,0,1,1",2,/static/snapshots/l/url2.jpg
arts_entertainment,http://en.wikipedia.org/wiki/Lambert-Sigisbert_Adam,3,"0,1,0,0,1",2,/static/snapshots/l/url3.jpg
culture_politics,http://en.wikipedia.org/wiki/Floyd_Landis,4,"0,0,0,0,2",2,/static/snapshots/l/url4.jpg
sports,http://simple.wikipedia.org/wiki/Floyd_Landis,5,"0,0,0,0,2",2,/static/snapshots/l/url5.jpg
science_technology,http://en.wikipedia.org/wiki/Floyd_Landis_doping_case,6,"0,0,0,0,2",2,/static/snapshots/l/url6.jpg
arts_entertainment,http://www.answers.com/topic/floyd-landis,7,"0,0,0,1,1",2,/static/snapshots/l/url7.jpg
religion,http://www.ladygaga.com/,8,"0,0,0,0,2",2,/static/snapshots/l/url8.jpg
arts_entertainment,http://en.wikipedia.org/wiki/Lady_Gaga,9,"0,0,0,0,2",2,/static/snapshots/l/url9.jpg
arts_entertainment,http://simple.wikipedia.org/wiki/Lady_GaGa,10,"0,0,0,0,2",2,/static/snapshots/l/url10.jpg
arts_entertainment,http://www.answers.com/topic/lady-gaga,11,"0,0,0,1,1",2,/static/snapshots/l/url11.jpg
culture_politics,http://www.people.com/people/lady_gaga,12,"0,0,0,1,1",2,/static/snapshots/l/url12.jpg
sports,http://www.rhapsody.com/lady-gaga,13,"0,0,0,0,2",2,/static/snapshots/l/url13.jpg
arts_entertainment,http://www.imdb.com/name/nm3078932/,14,"0,0,0,0,2",2,/static/snapshots/l/url14.jpg
arts_entertainment,http://www.cnn.com/SPECIALS/2009/michael.jackson.remembered,15,"0,0,0,0,2",2,/static/snapshots/l/url15.jpg
arts_entertainment,http://www.imdb.com/name/nm0001391/,16,"0,0,0,0,2",2,/static/snapshots/l/url16.jpg
arts_entertainment,http://simple.wikipedia.org/wiki/Michael_Jackson,17,"0,0,0,0,2",2,/static/snapshots/l/url17.jpg
arts_entertainment,http://www.michaeljackson.com/us/this-is-it,18,"0,0,0,1,1",2,/static/snapshots/l/url18.jpg
arts_entertainment,http://www.msnbc.msn.com/id/31552029/ns/entertainment-music/,19,"0,0,0,0,2",2,/static/snapshots/l/url19.jpg
arts_entertainment,http://www.biography.com/articles/Michael-Jackson-38211,20,"0,0,0,0,2",2,/static/snapshots/l/url20.jpg
health,http://en.wikipedia.org/wiki/Suleman_octuplets,21,"0,0,0,0,2",2,/static/snapshots/l/url21.jpg
arts_entertainment,http://www.imdb.com/name/nm3319257/,22,"0,0,0,0,2",2,/static/snapshots/l/url22.jpg
science_technology,http://en.wikipedia.org/wiki/Emissions_trading,23,"0,0,0,0,2",2,/static/snapshots/l/url23.jpg
science_technology,http://www.epa.gov/captrade/,24,"0,0,0,0,2",2,/static/snapshots/l/url24.jpg
science_technology,http://www.americanprogress.org/issues/2008/01/capandtrade101.html,25,"0,0,0,1,1",2,/static/snapshots/l/url25.jpg
science_technology,http://online.wsj.com/article/SB123655590609066021.html,26,"0,0,0,0,2",2,/static/snapshots/l/url26.jpg
culture_politics,http://www.washingtonpost.com/wp-dyn/content/article/2009/05/31/AR2009053102077.html,27,"0,0,0,0,2",2,/static/snapshots/l/url27.jpg
science_technology,http://en.wikipedia.org/wiki/American_Clean_Energy_and_Security_Act,28,"0,0,0,1,1",2,/static/snapshots/l/url28.jpg
science_technology,http://www.epa.gov/captrade/captrade-101.html,29,"0,0,0,0,2",2,/static/snapshots/l/url29.jpg
science_technology,http://www.sightline.org/research/energy/res_pubs/cap-and-trade-101,30,"0,0,0,1,1",2,/static/snapshots/l/url30.jpg
science_technology,http://www.epa.gov/climatechange/,31,"0,0,0,0,2",2,/static/snapshots/l/url31.jpg
science_technology,http://en.wikipedia.org/wiki/Climate_change,32,"0,0,0,0,2",2,/static/snapshots/l/url32.jpg
science_technology,http://www.nature.org/initiatives/climatechange/,33,"0,0,0,0,2",2,/static/snapshots/l/url33.jpg
science_technology,http://www.answers.com/topic/climate-change,34,"0,0,0,1,1",2,/static/snapshots/l/url34.jpg
science_technology,http://www.pewclimate.org/,35,"0,0,0,0,2",2,/static/snapshots/l/url35.jpg
culture_politics,http://climate.nasa.gov/,36,"0,0,0,0,2",2,/static/snapshots/l/url36.jpg
science_technology,http://simple.wikipedia.org/wiki/Climate_change,37,"0,0,0,0,2",2,/static/snapshots/l/url37.jpg
science_technology,http://www.epa.gov/climatechange/basicinfo.html,38,"0,0,0,0,2",2,/static/snapshots/l/url38.jpg
science_technology,http://www.ipcc.ch/,39,"0,0,0,0,2",2,/static/snapshots/l/url39.jpg
science_technology,http://www.exploratorium.edu/climate/,40,"0,0,0,0,2",2,/static/snapshots/l/url40.jpg
science_technology,http://unfccc.int/,41,"0,0,0,0,2",2,/static/snapshots/l/url41.jpg
science_technology,http://ec.europa.eu/environment/climat/home_en.htm,42,"0,0,0,1,1",2,/static/snapshots/l/url42.jpg
science_technology,http://en.wikipedia.org/wiki/Green_jobs,43,"0,0,0,1,1",2,/static/snapshots/l/url43.jpg
science_technology,http://en.wikipedia.org/wiki/Green-collar_worker,44,"0,0,0,0,2",2,/static/snapshots/l/url44.jpg
science_technology,http://greenjobsalliance.org/,45,"0,0,0,0,2",2,/static/snapshots/l/url45.jpg
business,http://www.usgbc.org/DisplayPage.aspx?CMSPageID=1954,46,"0,0,0,0,2",2,/static/snapshots/l/url46.jpg
recreation,http://greenjobs.waketech.edu/,47,"0,0,0,1,1",2,/static/snapshots/l/url47.jpg
business,http://organiceating.com/,48,"0,0,0,0,2",2,/static/snapshots/l/url48.jpg
science_technology,http://en.wikipedia.org/wiki/Organic_food,49,"0,0,0,0,2",2,/static/snapshots/l/url49.jpg
science_technology,http://en.wikipedia.org/wiki/Renewable_energy,50,"0,0,0,0,2",2,/static/snapshots/l/url50.jpg
science_technology,http://www.nrel.gov/,51,"0,0,0,0,2",2,/static/snapshots/l/url51.jpg
science_technology,http://www.eia.doe.gov/kids/energyfacts/sources/renewable/renewable.html,52,"0,0,0,0,2",2,/static/snapshots/l/url52.jpg
science_technology,http://en.wikipedia.org/wiki/Renewable_energy_in_California,53,"0,0,0,0,2",2,/static/snapshots/l/url53.jpg
science_technology,http://simple.wikipedia.org/wiki/Renewable_energy,54,"0,0,0,0,2",2,/static/snapshots/l/url54.jpg
science_technology,http://www.eere.energy.gov/,55,"0,0,0,0,2",2,/static/snapshots/l/url55.jpg
law_crime,http://www.lanepowell.com/237/renewable-energy/,56,"0,0,0,1,1",2,/static/snapshots/l/url56.jpg
science_technology,http://www.green.harvard.edu/renewable-energy,57,"0,0,0,0,2",2,/static/snapshots/l/url57.jpg
science_technology,http://www.energy.ca.gov/renewables/index.html,58,"0,0,0,0,2",2,/static/snapshots/l/url58.jpg
science_technology,http://www.dieoff.org/page84.htm,59,"0,0,0,1,1",2,/static/snapshots/l/url59.jpg
science_technology,http://nationalatlas.gov/articles/people/a_energy.html,60,"0,0,0,0,2",2,/static/snapshots/l/url60.jpg
business,http://the-mrea.org/,61,"0,0,0,1,1",2,/static/snapshots/l/url61.jpg
science_technology,http://www.mayoclinic.com/health/alzheimers-genes/AZ00047,62,"0,0,0,0,2",2,/static/snapshots/l/url62.jpg
science_technology,"http://www.time.com/time/health/article/0,8599,1920745,00.html",63,"0,0,0,0,2",2,/static/snapshots/l/url63.jpg
health,http://www.nia.nih.gov/Alzheimers/Publications/geneticsfs.htm,64,"0,0,0,0,2",2,/static/snapshots/l/url64.jpg
health,http://www.ncbi.nlm.nih.gov/pubmed/11274343,65,"0,0,0,0,2",2,/static/snapshots/l/url65.jpg
health,http://www.webmd.com/alzheimers/guide/20061101/who-gets-alzheimers-genes-hold-key,66,"0,0,0,0,2",2,/static/snapshots/l/url66.jpg
business,http://www.businessweek.com/lifestyle/content/healthday/640111.html,67,"0,0,0,0,2",2,/static/snapshots/l/url67.jpg
health,http://www.medpagetoday.com/Neurology/AlzheimersDisease/15850,68,"0,0,0,0,2",2,/static/snapshots/l/url68.jpg
science_technology,http://www.alzinfo.org/alzheimers-genetic.asp,69,"0,0,0,1,1",2,/static/snapshots/l/url69.jpg
health,http://en.wikipedia.org/wiki/Alzheimer%27s_disease,70,"0,0,0,0,2",2,/static/snapshots/l/url70.jpg
science_technology,http://news.health.com/2010/05/11/new-alzheimers-risk-genes-identified/,71,"0,0,0,0,2",2,/static/snapshots/l/url71.jpg
health,http://www.clinicaltrials.gov/ct2/show/NCT00006193,72,"0,0,0,0,2",2,/static/snapshots/l/url72.jpg
health,http://www.mayoclinic.com/health/autism/DS00348/DSECTION=symptoms,73,"0,0,0,0,2",2,/static/snapshots/l/url73.jpg
health,http://www.cornerstorkbabygifts.com/autism-warning-signs.aspx,74,"0,0,0,1,1",2,/static/snapshots/l/url74.jpg
health,http://www.cdc.gov/h1n1flu/vaccination/vaccine_safety_qa.htm,75,"0,0,0,0,2",2,/static/snapshots/l/url75.jpg
