topic,url,index,ratings,total
Politics,http://www.birthdaypartyideas.com/html/tea.html,900,"0,0,1,0,0",1
Politics,http://www.salon.com/news/tea_parties/index.html?story=/opinion/walsh/politics/2010/06/16/john_kasich_lehman_brothers_populist,901,"0,0,0,1,0",1
Politics,http://stlouisteaparty.com/,902,"0,0,1,0,0",1
Politics,http://abcnews.go.com/Politics/tea-party-protesters-march-washington/story?id=8557120,903,"0,0,0,1,0",1
Politics,http://topics.politico.com/index.cfm/topic/TeaParty,904,"0,0,1,0,0",1
Politics,http://www.nationwidechicagoteaparty.com/,905,"0,0,1,0,0",1
Politics,http://party.kaboose.com/tea_party.html,906,"0,0,0,1,0",1
Environment,http://www.renewableenergyworld.com/,907,"0,0,0,0,0",0
Environment,http://www.renewableenergyworld.com/rea/tech/home,908,"0,0,0,0,0",0
Environment,http://tribune.com.pk/story/381422/for-a-green-economy-experts-stress-on-equal-gender-participation-renewable-energy/,909,"0,0,0,0,0",0
Environment,http://www.telegraph.co.uk/earth/energy/renewableenergy/9276895/Electricity-bills-set-to-rise-to-pay-for-wind-farm-subsidies.html,910,"0,0,0,0,0",0
Environment,http://www.reuters.com/article/2012/05/18/us-apple-idUSBRE84G0YW20120518,911,"0,0,0,0,0",0
Environment,http://www.energymatters.com.au/renewable-energy/,912,"0,0,0,0,0",0
Environment,http://www.sciencedirect.com/science/journal/09601481,913,"0,0,0,0,0",0
Environment,http://www.journals.elsevier.com/renewable-energy/,914,"0,0,0,0,0",0
Environment,http://www.energysavingtrust.org.uk/Generate-your-own-energy,915,"0,0,0,0,0",0
Environment,http://www.re-energy.ca/,916,"0,0,0,0,0",0
Environment,http://ec.europa.eu/energy/renewables/,917,"0,0,0,0,0",0
Environment,http://www.climatechange.gov.au/what-you-need-to-know/renewable-energy.aspx,918,"0,0,0,0,0",0
Environment,http://www.nrcan.gc.ca/energy/renewable/1580,919,"0,0,0,0,0",0
Environment,http://www.sciencedaily.com/news/earth_climate/renewable_energy/,920,"0,0,0,0,0",0
Environment,http://edugreen.teri.res.in/explore/renew/renew.htm,921,"0,0,0,0,0",0
Environment,http://www.decc.gov.uk/en/content/cms/meeting_energy/renewable_ener/renewable_ener.aspx,922,"0,0,0,0,0",0
Environment,http://www.r-e-a.net/,923,"0,0,0,0,0",0
Environment,http://www.renewableenergyfocus.com/,924,"0,0,0,0,0",0
Environment,http://www.scotland.gov.uk/Topics/Business-Industry/Energy/Energy-sources/19185,925,"0,0,0,0,0",0
Environment,http://www.earthtechling.com/topics/renewable-energy/,926,"0,0,0,0,0",0
Environment,http://www.recgroup.com/,927,"0,0,0,0,0",0
Environment,http://www.iea.org/subjectqueries/keyresult.asp?keyword_id=4116,928,"0,0,0,0,0",0
Environment,http://www.solarenergy.org/,929,"0,0,0,0,0",0
Environment,http://www.energy.ca.gov/renewables/,930,"0,0,0,0,0",0
Environment,http://www.youtube.com/watch?v=oTyWeW5MEio,931,"0,0,0,0,0",0
Environment,http://www.ted.com/talks/donald_sadoway_the_missing_link_to_renewable_energy.html,932,"0,0,0,0,0",0
Environment,http://www.treehugger.com/renewable-energy/grid-scale-metal-liquid-batteries-could-revolutionize-renewable-energy-use.html,933,"0,0,0,0,0",0
Environment,http://www.mnre.gov.in/,934,"0,0,0,0,0",0
Environment,http://www.motherearthnews.com/Renewable-Energy.aspx,935,"0,0,0,0,0",0
Environment,http://www.njcep.com/,936,"0,0,0,0,0",0
Environment,http://www.dsireusa.org/,937,"0,0,0,0,0",0
Environment,http://www.eere.energy.gov/redirects/eren.html,938,"0,0,0,0,0",0
Environment,http://www.treehugger.com/renewable-energy/,939,"0,0,0,0,0",0
Environment,http://www.ene.gov.on.ca/environment/en/subject/renewable_energy/index.htm,940,"0,0,0,0,0",0
Environment,http://www.nationalatlas.gov/articles/people/a_energy.html,941,"0,0,0,0,0",0
Environment,http://www.renewableenergyworld.com/rea/careers,942,"0,0,0,0,0",0
Environment,http://tonto.eia.doe.gov/kids/energy.cfm?page=renewable_home-basics,943,"0,0,0,0,0",0
Environment,http://epa.gov/climatechange/,944,"0,0,0,0,0",0
Environment,http://www.climatechange.gov.au/,945,"0,0,0,0,0",0
Environment,http://topics.nytimes.com/top/news/science/topics/globalwarming/index.html,946,"0,0,0,0,0",0
Environment,http://www.bangkokpost.com/news/local/294208/climate-change-action-now-an-afterthought,947,"0,0,0,0,0",0
Environment,http://thestar.com.my/news/story.asp?file=/2012/5/20/asia/11319629&sec=asia,948,"0,0,0,0,0",0
Environment,http://www.fijitimes.com/story.aspx?id=201766,949,"0,0,0,0,0",0
Environment,http://www.direct.gov.uk/en/environmentandgreenerliving/thewiderenvironment/climatechange/index.htm,950,"0,0,0,0,0",0
Environment,http://www.springer.com/earth+sciences+and+geography/atmospheric+sciences/journal/10584,951,"0,0,0,0,0",0
Environment,http://unfccc.int/,952,"0,0,0,0,0",0
Environment,http://www.bom.gov.au/climate/change/,953,"0,0,0,0,0",0
Environment,http://www.metoffice.gov.uk/climate-change,954,"0,0,0,0,0",0
Environment,http://www.nature.org/ourinitiatives/urgentissues/climatechange/index.htm,955,"0,0,0,0,0",0
Environment,http://climatechange.worldbank.org/,956,"0,0,0,0,0",0
Environment,http://climatechange.gc.ca/default.asp?lang=en&n=e18c8f2d-1,957,"0,0,0,0,0",0
Environment,http://www.bbc.co.uk/sn/hottopics/climatechange/,958,"0,0,0,0,0",0
Environment,http://www.decc.gov.uk/,959,"0,0,0,0,0",0
Environment,http://www.epa.gov/climatechange/kids/,960,"0,0,0,0,0",0
Environment,http://www.un.org/climatechange,961,"0,0,0,0,0",0
Environment,http://www.climatechange.govt.nz/,962,"0,0,0,0,0",0
Environment,http://www.davidsuzuki.org/issues/climate-change/science/climate-change-basics/climate-change-101-1/,963,"0,0,0,0,0",0
Environment,http://www.ft.com/indepth/climatechange,964,"0,0,0,0,0",0
Environment,http://www.oxfam.org.uk/get-involved/campaign-with-us/our-campaigns/grow,965,"0,0,0,0,0",0
Environment,http://www.amnh.org/climatechange,966,"0,0,0,0,0",0
Environment,http://www.wikinvest.com/concept/Global_Climate_Change,967,"0,0,0,0,0",0
Environment,http://www.youtube.com/watch?v=zzjOcOcQ90U,968,"0,0,0,0,0",0
Environment,http://www.ec.gc.ca/default.asp?lang=en&n=2967c31d-1,969,"0,0,0,0,0",0
Environment,http://www.pembina.org/climate,970,"0,0,0,0,0",0
Environment,http://www.climatechange.gov.au/climate-change.aspx,971,"0,0,0,0,0",0
Environment,http://www.fao.org/climatechange/en/,972,"0,0,0,0,0",0
Environment,http://www.worldwildlife.org/climate/,973,"0,0,0,0,0",0
Environment,http://www.greenpeace.org/international/en/campaigns/climate-change/,974,"0,0,0,0,0",0
Environment,http://www.panda.org/climate,975,"0,0,0,0,0",0
Environment,http://www.who.int/topics/climate/en/,976,"0,0,0,0,0",0
Environment,http://www.youtube.com/watch?v=pA6FSy6EKrM,977,"0,0,0,0,0",0
Environment,http://www.ecomii.com/ecopedia/cap-and-trade,978,"0,0,0,0,0",0
Environment,http://www.heritage.org/issues/energy-and-environment/cap-and-trade,979,"0,0,0,0,0",0
Environment,http://topics.nytimes.com/topics/reference/timestopics/subjects/g/greenhouse_gas_emissions/cap_and_trade/index.html,980,"0,0,0,0,0",0
Environment,http://www.storyofstuff.org/movies-all/story-of-cap-trade/,981,"0,0,0,0,0",0
Environment,http://www.realvail.com/article/1434/Key-stakeholders-ink-Colorado-River-Cooperative-Agreement,982,"0,0,0,0,0",0
